:START_ID,:END_ID,first_year:INT,pub_count:INT,:TYPE
3,158,2015,1,coauthor
3,161,2015,1,coauthor
3,166,2015,1,coauthor
3,184,2015,1,coauthor
3,186,2015,1,coauthor
3,200,2015,1,coauthor
3,201,2015,1,coauthor
3,202,2015,1,coauthor
3,217,2015,1,coauthor
3,218,2015,1,coauthor
3,221,2015,1,coauthor
3,222,2015,1,coauthor
3,223,2015,1,coauthor
3,224,2015,1,coauthor
3,229,2015,1,coauthor
3,230,2015,1,coauthor
3,244,2015,1,coauthor
3,247,2015,1,coauthor
3,248,2015,1,coauthor
3,249,2015,1,coauthor
3,263,2015,1,coauthor
3,265,2015,1,coauthor
3,266,2015,1,coauthor
3,267,2015,1,coauthor
3,268,2015,1,coauthor
3,269,2015,1,coauthor
3,271,2015,1,coauthor
3,272,2015,1,coauthor
3,273,2015,1,coauthor
3,276,2015,1,coauthor
3,277,2015,1,coauthor
3,279,2015,1,coauthor
3,286,2015,1,coauthor
3,294,2015,1,coauthor
3,295,2015,1,coauthor
3,296,2015,1,coauthor
3,298,2015,1,coauthor
3,305,2015,1,coauthor
3,308,2015,1,coauthor
3,309,2015,1,coauthor
3,317,2015,1,coauthor
3,319,2015,1,coauthor
3,321,2015,1,coauthor
3,322,2015,1,coauthor
3,324,2015,1,coauthor
3,330,2015,1,coauthor
3,333,2015,1,coauthor
3,355,2015,1,coauthor
3,360,2015,1,coauthor
3,365,2015,1,coauthor
3,376,2015,1,coauthor
3,382,2015,1,coauthor
3,384,2015,1,coauthor
3,385,2015,1,coauthor
3,392,2015,1,coauthor
3,397,2015,1,coauthor
3,398,2015,1,coauthor
3,404,2015,1,coauthor
3,407,2015,1,coauthor
3,410,2015,1,coauthor
3,440,2015,1,coauthor
3,452,2015,1,coauthor
3,466,2015,1,coauthor
3,471,2015,1,coauthor
3,474,2015,1,coauthor
3,476,2015,1,coauthor
3,481,2015,1,coauthor
3,483,2015,1,coauthor
3,490,2015,1,coauthor
3,491,2015,1,coauthor
3,505,2015,1,coauthor
3,506,2015,1,coauthor
3,507,2015,1,coauthor
3,509,2015,1,coauthor
3,512,2015,1,coauthor
3,513,2015,1,coauthor
3,517,2015,1,coauthor
3,518,2015,1,coauthor
3,524,2015,1,coauthor
3,544,2015,1,coauthor
3,547,2015,1,coauthor
3,551,2015,1,coauthor
3,552,2015,1,coauthor
3,575,2015,1,coauthor
3,578,2015,1,coauthor
3,579,2015,1,coauthor
3,580,2015,1,coauthor
3,581,2015,1,coauthor
3,582,2015,1,coauthor
3,583,2015,1,coauthor
3,586,2015,1,coauthor
3,587,2015,1,coauthor
3,588,2015,1,coauthor
3,592,2015,1,coauthor
3,596,2015,1,coauthor
3,601,2015,1,coauthor
3,602,2015,1,coauthor
3,603,2015,1,coauthor
3,604,2015,1,coauthor
3,605,2015,1,coauthor
3,606,2015,1,coauthor
12,24,2015,1,coauthor
12,25,2015,1,coauthor
12,27,2015,1,coauthor
12,33,2015,1,coauthor
12,40,2015,1,coauthor
12,45,2015,1,coauthor
12,53,2015,1,coauthor
12,56,2015,1,coauthor
12,65,2015,1,coauthor
12,70,2015,1,coauthor
12,71,2015,1,coauthor
12,76,2015,1,coauthor
12,82,2015,1,coauthor
12,88,2015,1,coauthor
12,93,2015,1,coauthor
12,99,2015,1,coauthor
12,107,2015,1,coauthor
12,108,2015,1,coauthor
12,109,2015,1,coauthor
12,115,2015,1,coauthor
12,117,2015,1,coauthor
12,126,2015,1,coauthor
12,143,2015,1,coauthor
12,158,2015,1,coauthor
12,161,2015,1,coauthor
12,166,2015,1,coauthor
12,184,2015,1,coauthor
12,186,2015,1,coauthor
12,200,2015,1,coauthor
12,201,2015,1,coauthor
12,202,2015,1,coauthor
12,217,2015,1,coauthor
12,218,2015,1,coauthor
12,221,2015,1,coauthor
12,222,2015,1,coauthor
12,223,2015,1,coauthor
12,224,2015,1,coauthor
12,229,2015,1,coauthor
12,230,2015,1,coauthor
12,244,2015,1,coauthor
12,247,2015,1,coauthor
12,248,2015,1,coauthor
12,249,2015,1,coauthor
12,263,2015,1,coauthor
12,265,2015,1,coauthor
12,266,2015,1,coauthor
12,267,2015,1,coauthor
12,268,2015,1,coauthor
12,269,2015,1,coauthor
12,271,2015,1,coauthor
12,272,2015,1,coauthor
12,273,2015,1,coauthor
12,276,2015,1,coauthor
12,277,2015,1,coauthor
12,279,2015,1,coauthor
12,286,2015,1,coauthor
12,294,2015,1,coauthor
12,295,2015,1,coauthor
12,296,2015,1,coauthor
12,298,2015,1,coauthor
12,305,2015,1,coauthor
12,308,2015,1,coauthor
12,309,2015,1,coauthor
12,317,2015,1,coauthor
12,319,2015,1,coauthor
12,321,2015,1,coauthor
12,322,2015,1,coauthor
12,324,2015,1,coauthor
12,330,2015,1,coauthor
12,333,2015,1,coauthor
12,355,2015,1,coauthor
12,360,2015,1,coauthor
12,365,2015,1,coauthor
12,376,2015,1,coauthor
12,382,2015,1,coauthor
12,384,2015,1,coauthor
12,385,2015,1,coauthor
12,392,2015,1,coauthor
12,397,2015,1,coauthor
12,398,2015,1,coauthor
12,404,2015,1,coauthor
12,407,2015,1,coauthor
12,410,2015,1,coauthor
12,440,2015,1,coauthor
12,452,2015,1,coauthor
12,466,2015,1,coauthor
12,471,2015,1,coauthor
12,474,2015,1,coauthor
12,476,2015,1,coauthor
12,481,2015,1,coauthor
12,483,2015,1,coauthor
12,490,2015,1,coauthor
12,491,2015,1,coauthor
12,505,2015,1,coauthor
12,506,2015,1,coauthor
12,507,2015,1,coauthor
12,509,2015,1,coauthor
12,512,2015,1,coauthor
12,513,2015,1,coauthor
12,517,2015,1,coauthor
12,518,2015,1,coauthor
12,524,2015,1,coauthor
12,544,2015,1,coauthor
12,547,2015,1,coauthor
12,551,2015,1,coauthor
12,552,2015,1,coauthor
12,575,2015,1,coauthor
12,578,2015,1,coauthor
